# args-grid.tsv -- committed swetest command-line grid for the text-level comparison between
# Astrodienst's swetest and this port's SweTest. Regenerated by
# Tools/SwetestDiff/gen-args-grid.ps1 -- never hand-edit this file; a change here has to come
# from that script, committed together with its regenerated output. See that script's own
# .DESCRIPTION for why each category looks the way it does, including the three genuine port
# defects (a -p body-list truncation, six "argv[i] + N" pointer-arithmetic-as-string-
# concatenation crashes -- five at int.Parse, plus -j throwing downstream in date parsing, the
# same shape one line differently -- and a -house sscanf %c crash) this grid deliberately
# exercises rather than routes around, and why -m/-z/-f/-F are absent from FMT_LETTERS.
#
# scripts/verify-swetest-diff.ps1 runs every row through both
# external/.c-reference/swetest.exe and Programs/SweTest, appending -edir"<path>" itself -- the
# ephemeris directory is a checkout-local path and does not belong in committed data. -head is
# already part of the args column below (every category except HEADER_BLOCK carries it) -- see
# the generator's .DESCRIPTION for why that has to be baked in per row rather than added
# uniformly by the verify script.
#
# COLUMNS (tab-separated, one invocation per line, LF line endings)
#
#   case_id    stable, unique, pipe-delimited id
#   category   groups rows for reporting
#   args       the swetest argument string, everything except -edir<path>
#
# Lines starting with '#' are comments. The first non-comment line is the column-name header
# below and is not a data row -- scripts/verify-swetest-diff.ps1 asserts it matches verbatim.
case_id	category	args
PLANETS|11.9.2001|h|ESWE	PLANETS	-head -b11.9.2001 -ph -fPLBRS -eswe
PLANETS|11.9.2001|a|ESWE	PLANETS	-head -b11.9.2001 -pa -fPLBRS -eswe
PLANETS_MOSEPH|1.1.1900|d|EMOS	PLANETS_MOSEPH	-head -b1.1.1900 -pd -fPLBRS -emos
PLANETS_MOSEPH|1.1.1900|p|EMOS	PLANETS_MOSEPH	-head -b1.1.1900 -pp -fPLBRS -emos
PLANETS_MOSEPH|1.1.2000|d|EMOS	PLANETS_MOSEPH	-head -b1.1.2000 -pd -fPLBRS -emos
PLANETS_MOSEPH|1.1.2000|p|EMOS	PLANETS_MOSEPH	-head -b1.1.2000 -pp -fPLBRS -emos
PLANETS_MOSEPH|1.1.2024|d|EMOS	PLANETS_MOSEPH	-head -b1.1.2024 -pd -fPLBRS -emos
PLANETS_MOSEPH|1.1.2024|p|EMOS	PLANETS_MOSEPH	-head -b1.1.2024 -pp -fPLBRS -emos
PLANETS_MOSEPH|1.1.2100|d|EMOS	PLANETS_MOSEPH	-head -b1.1.2100 -pd -fPLBRS -emos
PLANETS_MOSEPH|1.1.2100|p|EMOS	PLANETS_MOSEPH	-head -b1.1.2100 -pp -fPLBRS -emos
PLANETS_MOSEPH|29.2.2000|d|EMOS	PLANETS_MOSEPH	-head -b29.2.2000 -pd -fPLBRS -emos
PLANETS_MOSEPH|29.2.2000|p|EMOS	PLANETS_MOSEPH	-head -b29.2.2000 -pp -fPLBRS -emos
PLANETS_MOSEPH|4.10.1582|d|EMOS	PLANETS_MOSEPH	-head -b4.10.1582 -pd -fPLBRS -emos
PLANETS_MOSEPH|4.10.1582|p|EMOS	PLANETS_MOSEPH	-head -b4.10.1582 -pp -fPLBRS -emos
PLANETS_SINGLE|0	PLANETS_SINGLE	-head -b1.1.2000 -p0 -fPLBRS -eswe
PLANETS_SINGLE|1	PLANETS_SINGLE	-head -b1.1.2000 -p1 -fPLBRS -eswe
PLANETS_SINGLE|2	PLANETS_SINGLE	-head -b1.1.2000 -p2 -fPLBRS -eswe
PLANETS_SINGLE|3	PLANETS_SINGLE	-head -b1.1.2000 -p3 -fPLBRS -eswe
PLANETS_SINGLE|4	PLANETS_SINGLE	-head -b1.1.2000 -p4 -fPLBRS -eswe
PLANETS_SINGLE|5	PLANETS_SINGLE	-head -b1.1.2000 -p5 -fPLBRS -eswe
PLANETS_SINGLE|6	PLANETS_SINGLE	-head -b1.1.2000 -p6 -fPLBRS -eswe
PLANETS_SINGLE|7	PLANETS_SINGLE	-head -b1.1.2000 -p7 -fPLBRS -eswe
PLANETS_SINGLE|8	PLANETS_SINGLE	-head -b1.1.2000 -p8 -fPLBRS -eswe
PLANETS_SINGLE|9	PLANETS_SINGLE	-head -b1.1.2000 -p9 -fPLBRS -eswe
PLANETS_SINGLE|m	PLANETS_SINGLE	-head -b1.1.2000 -pm -fPLBRS -eswe
PLANETS_SINGLE|t	PLANETS_SINGLE	-head -b1.1.2000 -pt -fPLBRS -eswe
PLANETS_SINGLE|A	PLANETS_SINGLE	-head -b1.1.2000 -pA -fPLBRS -eswe
PLANETS_SINGLE|B	PLANETS_SINGLE	-head -b1.1.2000 -pB -fPLBRS -eswe
PLANETS_SINGLE|C	PLANETS_SINGLE	-head -b1.1.2000 -pC -fPLBRS -eswe
PLANETS_SINGLE|D	PLANETS_SINGLE	-head -b1.1.2000 -pD -fPLBRS -eswe
PLANETS_SINGLE|E	PLANETS_SINGLE	-head -b1.1.2000 -pE -fPLBRS -eswe
PLANETS_SINGLE|F	PLANETS_SINGLE	-head -b1.1.2000 -pF -fPLBRS -eswe
PLANETS_SINGLE|G	PLANETS_SINGLE	-head -b1.1.2000 -pG -fPLBRS -eswe
PLANETS_SINGLE|H	PLANETS_SINGLE	-head -b1.1.2000 -pH -fPLBRS -eswe
PLANETS_SINGLE|I	PLANETS_SINGLE	-head -b1.1.2000 -pI -fPLBRS -eswe
PLSEL_TRUNCATION|1	PLSEL_TRUNCATION	-head -b1.1.2000 -p0123456789 -fPl -eswe
PLSEL_TRUNCATION|2	PLSEL_TRUNCATION	-head -b1.1.2000 -p01mt -fPl -eswe
PLSEL_TRUNCATION|3	PLSEL_TRUNCATION	-head -b1.1.2000 -pABCDEFGHI -fPl -eswe
FMT_LETTERS|y	FMT_LETTERS	-head -b1.1.2000 -p0 -fPy -eswe
FMT_LETTERS|Y	FMT_LETTERS	-head -b1.1.2000 -p0 -fPY -eswe
FMT_LETTERS|P	FMT_LETTERS	-head -b1.1.2000 -p0 -fP -eswe
FMT_LETTERS|p	FMT_LETTERS	-head -b1.1.2000 -p0 -fP -eswe
FMT_LETTERS|J	FMT_LETTERS	-head -b1.1.2000 -p0 -fPJ -eswe
FMT_LETTERS|T	FMT_LETTERS	-head -b1.1.2000 -p0 -fPT -eswe
FMT_LETTERS|t	FMT_LETTERS	-head -b1.1.2000 -p0 -fPt -eswe
FMT_LETTERS|L	FMT_LETTERS	-head -b1.1.2000 -p0 -fPL -eswe
FMT_LETTERS|l	FMT_LETTERS	-head -b1.1.2000 -p0 -fPl -eswe
FMT_LETTERS|G	FMT_LETTERS	-head -b1.1.2000 -p0 -fPG -eswe
FMT_LETTERS|g	FMT_LETTERS	-head -b1.1.2000 -p0 -fPg -eswe
FMT_LETTERS|j	FMT_LETTERS	-head -b1.1.2000 -p0 -fPj -eswe
FMT_LETTERS|Z	FMT_LETTERS	-head -b1.1.2000 -p0 -fPZ -eswe
FMT_LETTERS|S	FMT_LETTERS	-head -b1.1.2000 -p0 -fPS -eswe
FMT_LETTERS|s	FMT_LETTERS	-head -b1.1.2000 -p0 -fPs -eswe
FMT_LETTERS|B	FMT_LETTERS	-head -b1.1.2000 -p0 -fPB -eswe
FMT_LETTERS|b	FMT_LETTERS	-head -b1.1.2000 -p0 -fPb -eswe
FMT_LETTERS|A	FMT_LETTERS	-head -b1.1.2000 -p0 -fPA -eswe
FMT_LETTERS|a	FMT_LETTERS	-head -b1.1.2000 -p0 -fPa -eswe
FMT_LETTERS|D	FMT_LETTERS	-head -b1.1.2000 -p0 -fPD -eswe
FMT_LETTERS|d	FMT_LETTERS	-head -b1.1.2000 -p0 -fPd -eswe
FMT_LETTERS|I	FMT_LETTERS	-head -b1.1.2000 -p0 -fPI -eswe
FMT_LETTERS|i	FMT_LETTERS	-head -b1.1.2000 -p0 -fPi -eswe
FMT_LETTERS|H	FMT_LETTERS	-head -b1.1.2000 -p0 -fPH -eswe
FMT_LETTERS|h	FMT_LETTERS	-head -b1.1.2000 -p0 -fPh -eswe
FMT_LETTERS|K	FMT_LETTERS	-head -b1.1.2000 -p0 -fPK -eswe
FMT_LETTERS|k	FMT_LETTERS	-head -b1.1.2000 -p0 -fPk -eswe
FMT_LETTERS|R	FMT_LETTERS	-head -b1.1.2000 -p0 -fPR -eswe
FMT_LETTERS|W	FMT_LETTERS	-head -b1.1.2000 -p0 -fPW -eswe
FMT_LETTERS|w	FMT_LETTERS	-head -b1.1.2000 -p0 -fPw -eswe
FMT_LETTERS|r	FMT_LETTERS	-head -b1.1.2000 -p0 -fPr -eswe
FMT_LETTERS|q	FMT_LETTERS	-head -b1.1.2000 -p0 -fPq -eswe
FMT_LETTERS|U	FMT_LETTERS	-head -b1.1.2000 -p0 -fPU -eswe
FMT_LETTERS|X	FMT_LETTERS	-head -b1.1.2000 -p0 -fPX -eswe
FMT_LETTERS|u	FMT_LETTERS	-head -b1.1.2000 -p0 -fPu -eswe
FMT_LETTERS|x	FMT_LETTERS	-head -b1.1.2000 -p0 -fPx -eswe
FMT_LETTERS|Q	FMT_LETTERS	-head -b1.1.2000 -p0 -fPQ -eswe
FMT_LETTERS|N	FMT_LETTERS	-head -b1.1.2000 -p0 -fPN -eswe
FMT_LETTERS|n	FMT_LETTERS	-head -b1.1.2000 -p0 -fPn -eswe
FMT_LETTERS|PLUS	FMT_LETTERS	-head -b1.1.2000 -p0 -fP+ -eswe
FMT_LETTERS|MINUS	FMT_LETTERS	-head -b1.1.2000 -p0 -fP- -eswe
FMT_LETTERS|STAR	FMT_LETTERS	-head -b1.1.2000 -p0 -fP* -eswe
FMT_LETTERS|SLASH	FMT_LETTERS	-head -b1.1.2000 -p0 -fP/ -eswe
FMT_LETTERS|EQUALS	FMT_LETTERS	-head -b1.1.2000 -p0 -fP= -eswe
FMT_LETTERS|V	FMT_LETTERS	-head -b1.1.2000 -p0 -fPV -eswe
FMT_LETTERS|v	FMT_LETTERS	-head -b1.1.2000 -p0 -fPv -eswe
FMT_LETTERS|m	FMT_LETTERS	-head -b1.1.2000 -p0 -fPm -eswe
FMT_LETTERS|z	FMT_LETTERS	-head -b1.1.2000 -p0 -fPz -eswe
FMT_LETTERS|f	FMT_LETTERS	-head -b1.1.2000 -p0 -fPf -eswe
FMT_LETTERS|F	FMT_LETTERS	-head -b1.1.2000 -p0 -fPF -eswe
FMT_MULTI|1	FMT_MULTI	-head -b1.1.2000 -pa -fPLBRS -eswe
FMT_MULTI|2	FMT_MULTI	-head -b1.1.2000 -pa -fPYyTt -eswe
FMT_MULTI|3	FMT_MULTI	-head -b1.1.2000 -pa -fPAaDdIiHhKk -eswe
FMT_MULTI|4	FMT_MULTI	-head -b1.1.2000 -pa -fPUuXx -eswe
FMT_MULTI|5	FMT_MULTI	-head -b1.1.2000 -pa -fPQ -eswe
FMT_MULTI|6	FMT_MULTI	-head -b1.1.2000 -pa -fPNn -eswe
HOUSES_CRASH|1	HOUSES_CRASH	-head -b1.1.2000 -p0 -house10,51.5,P -fPl -eswe
HOUSES_CRASH|2	HOUSES_CRASH	-head -b1.1.2000 -p0 -house[10,51.5,K] -fPl -eswe
HOUSES_CRASH|3	HOUSES_CRASH	-head -b1.1.2000 -p0 -house0,66,O -fPl -eswe
HOUSES_CRASH|4	HOUSES_CRASH	-head -b1.1.2000 -p0 -house139.6917,35.6895,W -fPl -eswe
HOUSES_CRASH|5	HOUSES_CRASH	-head -b1.1.2000 -p0 -house10,51.5,G -fPl -eswe
ECLIPSE|SOLECL|1.1.2000	ECLIPSE	-head -b1.1.2000 -p0 -geopos10,51.5,0 -solecl -fPl -eswe
ECLIPSE|SOLECL|1.1.2020	ECLIPSE	-head -b1.1.2020 -p0 -geopos10,51.5,0 -solecl -fPl -eswe
ECLIPSE|SOLECL|21.6.2001	ECLIPSE	-head -b21.6.2001 -p0 -geopos10,51.5,0 -solecl -fPl -eswe
ECLIPSE|SOLECL|25.12.2010	ECLIPSE	-head -b25.12.2010 -p0 -geopos10,51.5,0 -solecl -fPl -eswe
ECLIPSE|LUNECL|1.1.2000	ECLIPSE	-head -b1.1.2000 -p0 -geopos10,51.5,0 -lunecl -fPl -eswe
ECLIPSE|LUNECL|1.1.2020	ECLIPSE	-head -b1.1.2020 -p0 -geopos10,51.5,0 -lunecl -fPl -eswe
ECLIPSE|LUNECL|21.6.2001	ECLIPSE	-head -b21.6.2001 -p0 -geopos10,51.5,0 -lunecl -fPl -eswe
ECLIPSE|LUNECL|25.12.2010	ECLIPSE	-head -b25.12.2010 -p0 -geopos10,51.5,0 -lunecl -fPl -eswe
ECLIPSE|RISE|1.1.2000	ECLIPSE	-head -b1.1.2000 -p0 -geopos10,51.5,0 -rise -fPl -eswe
ECLIPSE|RISE|1.1.2020	ECLIPSE	-head -b1.1.2020 -p0 -geopos10,51.5,0 -rise -fPl -eswe
ECLIPSE|RISE|21.6.2001	ECLIPSE	-head -b21.6.2001 -p0 -geopos10,51.5,0 -rise -fPl -eswe
ECLIPSE|RISE|25.12.2010	ECLIPSE	-head -b25.12.2010 -p0 -geopos10,51.5,0 -rise -fPl -eswe
ECLIPSE|OCCULT|1.1.2000	ECLIPSE	-head -b1.1.2000 -p0 -geopos10,51.5,0 -occult -fPl -eswe
ECLIPSE|OCCULT|1.1.2020	ECLIPSE	-head -b1.1.2020 -p0 -geopos10,51.5,0 -occult -fPl -eswe
ECLIPSE|OCCULT|21.6.2001	ECLIPSE	-head -b21.6.2001 -p0 -geopos10,51.5,0 -occult -fPl -eswe
ECLIPSE|OCCULT|25.12.2010	ECLIPSE	-head -b25.12.2010 -p0 -geopos10,51.5,0 -occult -fPl -eswe
ECLIPSE|METR|1.1.2000	ECLIPSE	-head -b1.1.2000 -p0 -geopos10,51.5,0 -metr -fPl -eswe
ECLIPSE|METR|1.1.2020	ECLIPSE	-head -b1.1.2020 -p0 -geopos10,51.5,0 -metr -fPl -eswe
ECLIPSE|METR|21.6.2001	ECLIPSE	-head -b21.6.2001 -p0 -geopos10,51.5,0 -metr -fPl -eswe
ECLIPSE|METR|25.12.2010	ECLIPSE	-head -b25.12.2010 -p0 -geopos10,51.5,0 -metr -fPl -eswe
STAR|regulus	STAR	-head -b1.1.2000 -xfregulus -pf -fPLBRS -eswe
STAR|aldebaran	STAR	-head -b1.1.2000 -xfaldebaran -pf -fPLBRS -eswe
STAR|antares	STAR	-head -b1.1.2000 -xfantares -pf -fPLBRS -eswe
STAR|spica	STAR	-head -b1.1.2000 -xfspica -pf -fPLBRS -eswe
STAR|sirius	STAR	-head -b1.1.2000 -xfsirius -pf -fPLBRS -eswe
STAR|arcturus	STAR	-head -b1.1.2000 -xfarcturus -pf -fPLBRS -eswe
STAR|pollux	STAR	-head -b1.1.2000 -xfpollux -pf -fPLBRS -eswe
STAR|betelgeuse	STAR	-head -b1.1.2000 -xfbetelgeuse -pf -fPLBRS -eswe
STAR_X|regulus	STAR	-head -b1.1.2000 -xregulus -pf -fPLBRS -eswe
STAR_X|sirius	STAR	-head -b1.1.2000 -xsirius -pf -fPLBRS -eswe
STAR_ASTEROID_MISSING|433	STAR	-head -b1.1.2000 -xs433 -ps -fPl -eswe
STAR_ASTEROID_MISSING|4	STAR	-head -b1.1.2000 -xs4 -ps -fPl -eswe
ORBEL|0	ORBEL	-head -b1.1.2000 -p0 -orbel -fPl -eswe
ORBEL|1	ORBEL	-head -b1.1.2000 -p1 -orbel -fPl -eswe
ORBEL|4	ORBEL	-head -b1.1.2000 -p4 -orbel -fPl -eswe
ORBEL|A	ORBEL	-head -b1.1.2000 -pA -orbel -fPl -eswe
DIFF|d1	DIFF	-head -b1.1.2000 -p0 -d1 -fPl -eswe
DIFF|d3	DIFF	-head -b1.1.2000 -p0 -d3 -fPl -eswe
DIFF|D1	DIFF	-head -b1.1.2000 -p0 -D1 -fPl -eswe
DIFF|D4	DIFF	-head -b1.1.2000 -p0 -D4 -fPl -eswe
TIDACC|1.5	TIDACC	-head -b1.1.2000 -p1 -tidacc1.5 -fPl -eswe
TIDACC|-25.8	TIDACC	-head -b1.1.2000 -p1 -tidacc-25.8 -fPl -eswe
TIDACC|0	TIDACC	-head -b1.1.2000 -p1 -tidacc0 -fPl -eswe
CRASH_MISC|SID	CRASH_MISC	-head -b1.1.2000 -p0 -sid1 -fPl -eswe
CRASH_MISC|AY	CRASH_MISC	-head -b1.1.2000 -p0 -ay1 -fPl -eswe
CRASH_MISC|SIDT0	CRASH_MISC	-head -b1.1.2000 -p0 -sidt01 -fPl -eswe
CRASH_MISC|SIDSP	CRASH_MISC	-head -b1.1.2000 -p0 -sidsp1 -fPl -eswe
CRASH_MISC|HELFLAG	CRASH_MISC	-head -b1.1.2000 -p0 -helflag1 -fPl -eswe
CRASH_MISC|J	CRASH_MISC	-head -p0 -j2451545.0 -fPl -eswe
PLANETOCENTRIC|COB_JUPITER	PLANETOCENTRIC	-head -b1.1.2000 -p5 -cob -fPLBRS -eswe
PLANETOCENTRIC|COB_SATURN	PLANETOCENTRIC	-head -b1.1.2000 -p6 -cob -fPLBRS -eswe
PLANETOCENTRIC|PC_VENUS	PLANETOCENTRIC	-head -b1.1.2000 -p2 -pc3 -fPLBRS -eswe
PLANETOCENTRIC|PC_MARS	PLANETOCENTRIC	-head -b1.1.2000 -p3 -pc4 -fPLBRS -eswe
PLANETOCENTRIC|PC_JUPITER_COB	PLANETOCENTRIC	-head -b1.1.2000 -p1 -pc9599 -fPLBRS -eswe
PLANETOCENTRIC|PC_SATURN_COB	PLANETOCENTRIC	-head -b1.1.2000 -p1 -pc9699 -fPLBRS -eswe
PLANETARY_MOON|IO	PLANETARY_MOON	-head -b1.1.2000 -pv -xv9501 -fPLBRS -eswe
PLANETARY_MOON|JUPITER_COB	PLANETARY_MOON	-head -b1.1.2000 -pv -xv9599 -fPLBRS -eswe
PLANETARY_MOON|TITAN	PLANETARY_MOON	-head -b1.1.2000 -pv -xv9605 -fPLBRS -eswe
DIFF_GEOHEL|DH8	DIFF_GEOHEL	-head -b1.1.2000 -p8 -dh8 -fPl -eswe
DIFF_GEOHEL|DH1	DIFF_GEOHEL	-head -b1.1.2000 -p8 -dh1 -fPl -eswe
NEW_2_10_FLAGS|LIM	NEW_2_10_FLAGS	-head -b1.1.2000 -ps -xs433 -lim -fPLBRS -eswe
NEW_2_10_FLAGS|LIM_PLANET	NEW_2_10_FLAGS	-head -b1.1.2000 -p2 -lim -fPLBRS -eswe
NEW_2_10_FLAGS|LIM_MOON	NEW_2_10_FLAGS	-head -b1.1.2000 -p1 -lim -fPLBRS -eswe
NEW_2_10_FLAGS|LIM_AST	NEW_2_10_FLAGS	-head -b1.1.2000 -pD -lim -fPLBRS -eswe
NEW_2_10_FLAGS|EP	NEW_2_10_FLAGS	-head -b1.1.2000 -p0 -ep -fPLBRS -eswe
NEW_2_10_FLAGS|TPM	NEW_2_10_FLAGS	-head -b1.1.2000 -p1 -tpm -fPLBRS -eswe
NEW_2_10_FLAGS|SIDBIT	NEW_2_10_FLAGS	-head -b1.1.2000 -p0 -sid1 -sidbit256 -fPLBRS -eswe
UTC_SHORT|UTC_HMS_SHORT	UTC_SHORT	-head -b1.1.2000 -p0 -utc1:5:9 -fPl -eswe
UTC_SHORT|UTC_H_ONLY	UTC_SHORT	-head -b1.1.2000 -p0 -utc9 -fPl -eswe
UTC_SHORT|UT_HMS_SHORT	UTC_SHORT	-head -b1.1.2000 -p0 -ut1:5:9 -fPl -eswe
MISC_FLAGS|TRUE	MISC_FLAGS	-head -b1.1.2000 -p0 -true -fPl -eswe
MISC_FLAGS|NOABERR	MISC_FLAGS	-head -b1.1.2000 -p0 -noaberr -fPl -eswe
MISC_FLAGS|NODEFL	MISC_FLAGS	-head -b1.1.2000 -p0 -nodefl -fPl -eswe
MISC_FLAGS|NONUT	MISC_FLAGS	-head -b1.1.2000 -p0 -nonut -fPl -eswe
MISC_FLAGS|SPEED	MISC_FLAGS	-head -b1.1.2000 -p0 -speed -fPl -eswe
MISC_FLAGS|SPEED3	MISC_FLAGS	-head -b1.1.2000 -p0 -speed3 -fPl -eswe
MISC_FLAGS|NOSPEED	MISC_FLAGS	-head -b1.1.2000 -p0 -nospeed -fPl -eswe
MISC_FLAGS|J2000	MISC_FLAGS	-head -b1.1.2000 -p0 -j2000 -fPl -eswe
MISC_FLAGS|ICRS	MISC_FLAGS	-head -b1.1.2000 -p0 -icrs -fPl -eswe
MISC_FLAGS|BARY	MISC_FLAGS	-head -b1.1.2000 -p0 -bary -fPl -eswe
MISC_FLAGS|HEL	MISC_FLAGS	-head -b1.1.2000 -p0 -hel -fPl -eswe
MISC_FLAGS|TOPO	MISC_FLAGS	-head -b1.1.2000 -p0 -topo10,51.5,0 -fPl -eswe
MISC_FLAGS|GEOPOS	MISC_FLAGS	-head -b1.1.2000 -p0 -geopos10,51.5,0 -fPl -eswe
MISC_FLAGS|LMT	MISC_FLAGS	-head -b1.1.2000 -p0 -lmt -fPl -eswe
MISC_FLAGS|LAT	MISC_FLAGS	-head -b1.1.2000 -p0 -lat -fPl -eswe
MISC_FLAGS|ROUNDSEC	MISC_FLAGS	-head -b1.1.2000 -p0 -roundsec -dms -fPl -eswe
MISC_FLAGS|ROUNDMIN	MISC_FLAGS	-head -b1.1.2000 -p0 -roundmin -dms -fPl -eswe
MISC_FLAGS|DMS	MISC_FLAGS	-head -b1.1.2000 -p0 -dms -fPl -eswe
MISC_FLAGS|SHORT	MISC_FLAGS	-head -b1.1.2000 -p0 -short -fPl -eswe
MISC_FLAGS|HOR	MISC_FLAGS	-head -b1.1.2000 -p0 -n3 -s1 -hor -fPl -eswe
MISC_FLAGS|GAP	MISC_FLAGS	-head -b1.1.2000 -p0 -g; -fPl -eswe
MISC_FLAGS|BWD	MISC_FLAGS	-head -b1.1.2000 -p0 -bwd -n3 -s1 -fPl -eswe
MISC_FLAGS|TIME_T	MISC_FLAGS	-head -b1.1.2000 -p0 -t12:30:00 -fPl -eswe
